host,hostname,hostname_type,protocol,port,name,state,product,extrainfo,reason,version,conf,cpe
8.8.4.4,dns.google,PTR,tcp,53,tcpwrapped,open,,,syn-ack,,8,
8.8.4.4,dns.google,PTR,tcp,443,https,open,HTTP server (unknown),,syn-ack,,10,
